0557	05/06/2014 14:15	0000001248	0000000000	0000000544	0000000000	0000000000	0000000000	00000000	
0558	05/06/2014 14:30	0000001260	0000000000	0000000544	0000000000	0000000000	0000000000	00000000	
0559	05/06/2014 14:45	0000001264	0000000000	0000000556	0000000000	0000000000	0000000000	00000000	
0560	05/06/2014 15:00	0000001288	0000000000	0000000580	0000000000	0000000000	0000000000	00000000	
0561	05/06/2014 15:15	0000001252	0000000000	0000000568	0000000000	0000000000	0000000000	00000000	
0562	05/06/2014 15:30	0000001220	0000000000	0000000584	0000000000	0000000000	0000000000	00000000	
0563	05/06/2014 15:45	0000001216	0000000000	0000000584	0000000000	0000000000	0000000000	00000000	
0564	05/06/2014 16:00	0000001224	0000000000	0000000572	0000000000	0000000000	0000000000	00000000	
0565	05/06/2014 16:15	0000001220	0000000000	0000000548	0000000000	0000000000	0000000000	00000000	
0566	05/06/2014 16:30	0000001236	0000000000	0000000528	0000000000	0000000000	0000000000	00000000	
0567	05/06/2014 16:45	0000001144	0000000000	0000000232	0000000000	0000000000	0000000000	00000000	
0568	05/06/2014 17:00	0000001148	0000000000	0000000216	0000000000	0000000000	0000000000	00000000	
0569	05/06/2014 17:15	0000001152	0000000000	0000000188	0000000000	0000000000	0000000000	00000000	
0570	05/06/2014 17:30	0000001152	0000000000	0000000200	0000000000	0000000000	0000000000	00000000	
0571	05/06/2014 17:45	0000001132	0000000000	0000000172	0000000000	0000000000	0000000000	00000000	
0572	05/06/2014 18:00	0000001092	0000000000	0000000184	0000000000	0000000000	0000000000	00000000	
0573	05/06/2014 18:15	0000001104	0000000000	0000000188	0000000000	0000000000	0000000000	00000000	
0574	05/06/2014 18:30	0000001112	0000000000	0000000200	0000000000	0000000000	0000000000	00000000	
0575	05/06/2014 18:45	0000001100	0000000000	0000000176	0000000000	0000000000	0000000000	00000000	
0576	05/06/2014 19:00	0000001120	0000000000	0000000212	0000000000	0000000000	0000000000	00000000	
0577	05/06/2014 19:15	0000001112	0000000000	0000000208	0000000000	0000000000	0000000000	00000000	
0578	05/06/2014 19:30	0000000988	0000000000	0000000180	0000000000	0000000000	0000000004	00000000	
0579	05/06/2014 19:45	0000000208	0000000000	0000000060	0000000000	0000000000	0000000000	00000000	
0580	05/06/2014 20:00	0000000140	0000000000	0000000088	0000000000	0000000000	0000000000	00000000	
0581	05/06/2014 20:15	0000000148	0000000000	0000000128	0000000000	0000000000	0000000000	00000000	
0582	05/06/2014 20:30	0000000696	0000000000	0000000220	0000000000	0000000000	0000000000	00000000	
0583	05/06/2014 20:45	0000001112	0000000000	0000000192	0000000000	0000000000	0000000000	00000000	
0584	05/06/2014 21:00	0000001104	0000000000	0000000196	0000000000	0000000000	0000000000	00000000	
0585	05/06/2014 21:15	0000001120	0000000000	0000000200	0000000000	0000000000	0000000000	00000000	
0586	05/06/2014 21:30	0000000912	0000000000	0000000156	0000000000	0000000000	0000000000	00000000	
0587	05/06/2014 21:45	0000000876	0000000000	0000000176	0000000000	0000000000	0000000000	00000000	
0588	05/06/2014 22:00	0000001108	0000000000	0000000192	0000000000	0000000000	0000000000	00000000	
0589	05/06/2014 22:15	0000001100	0000000000	0000000192	0000000000	0000000000	0000000000	00000000	
0590	05/06/2014 22:30	0000000952	0000000000	0000000180	0000000000	0000000000	0000000000	00000000	
0591	05/06/2014 22:45	0000000680	0000000000	0000000132	0000000000	0000000000	0000000000	00000000	
0592	05/06/2014 23:00	0000000660	0000000000	0000000132	0000000000	0000000000	0000000000	00000000	
0593	05/06/2014 23:15	0000000664	0000000000	0000000132	0000000000	0000000000	0000000000	00000000	
0594	05/06/2014 23:30	0000000660	0000000000	0000000140	0000000000	0000000000	0000000000	00000000	
0595	05/06/2014 23:45	0000000664	0000000000	0000000140	0000000000	0000000000	0000000000	00000000	
